Belmullet,Valentia Observatory,Dublin airport,Malin head,Mullingar,Shannon airport,Year,Month,Total
116.3,189.3,48.0,93.3,52.7,111.6,1976,Dec,101.86666666666667
109.6,173.1,57.8,68.2,75.4,50.5,1977,Jan,89.10000000000001
82.9,191.6,124.4,151.1,137.3,102.6,1977,Feb,131.65
135.1,206.8,57.3,64.4,94.1,67.9,1977,Mar,104.26666666666667
68.0,74.7,43.4,88.9,93.2,75.2,1977,Apr,73.89999999999999
20.4,37.6,22.5,30.9,18.1,22.1,1977,May,25.266666666666666
44.2,55.3,65.5,43.5,83.9,44.3,1977,Jun,56.11666666666667
63.7,58.8,26.1,79.1,41.2,71.4,1977,July,56.71666666666666
140.4,50.0,68.1,57.1,76.0,93.1,1977,Aug,80.78333333333335
64.4,81.7,29.2,120.6,60.9,70.4,1977,Sep,71.19999999999999
180.0,313.1,76.5,99.5,91.9,88.3,1977,Oct,141.54999999999998
125.0,146.3,53.8,161.0,107.9,145.7,1977,Nov,123.28333333333335
70.1,152.8,65.1,63.2,76.2,71.4,1977,Dec,83.13333333333333
115.0,165.2,59.4,162.6,96.2,89.5,1978,Jan,114.64999999999999
68.8,129.8,50.3,58.0,71.6,68.9,1978,Feb,74.56666666666666
153.8,201.9,63.0,133.3,116.0,120.2,1978,Mar,131.36666666666667
25.4,66.1,29.6,25.4,37.8,80.0,1978,Apr,44.050000000000004
38.5,23.7,27.3,30.9,11.8,16.7,1978,May,24.816666666666666
67.4,88.8,37.1,55.7,57.9,46.3,1978,Jun,58.86666666666667
60.5,97.5,50.5,39.5,79.2,82.1,1978,July,68.21666666666665
80.0,179.5,116.7,76.1,60.0,94.6,1978,Aug,101.14999999999999
122.2,42.2,38.4,168.2,87.8,45.6,1978,Sep,84.06666666666668
70.1,59.6,31.8,70.2,41.9,46.6,1978,Oct,53.36666666666667
164.5,165.3,64.1,149.6,98.4,90.6,1978,Nov,122.08333333333333
146.3,290.1,217.0,124.7,158.6,114.7,1978,Dec,175.23333333333335
120.7,128.3,42.3,143.0,57.0,75.3,1979,Jan,94.43333333333334
42.9,149.1,83.4,24.2,44.8,64.7,1979,Feb,68.18333333333332
121.6,120.5,63.7,96.6,85.9,94.2,1979,Mar,97.08333333333333
63.6,49.0,53.1,53.3,62.0,81.9,1979,Apr,60.48333333333333
123.4,127.9,82.2,82.8,108.8,112.8,1979,May,106.31666666666666
49.0,77.3,44.0,68.5,31.9,65.9,1979,Jun,56.1
53.0,38.7,47.0,68.0,44.9,21.8,1979,July,45.56666666666666
118.2,155.4,96.5,84.6,114.6,117.6,1979,Aug,114.48333333333335
84.6,99.0,41.5,83.2,66.6,70.1,1979,Sep,74.16666666666667
146.3,176.4,119.0,111.7,105.7,94.7,1979,Oct,125.63333333333337
158.8,181.8,51.4,202.9,109.9,155.5,1979,Nov,143.38333333333333
131.2,270.5,112.4,120.6,143.6,159.5,1979,Dec,156.3
91.7,134.5,115.2,75.3,72.4,73.3,1980,Jan,93.73333333333333
86.3,202.4,68.5,80.6,93.0,82.6,1980,Feb,102.23333333333333
90.9,147.2,73.7,88.8,85.6,76.4,1980,Mar,93.76666666666667
12.6,24.1,8.2,22.0,28.4,25.4,1980,Apr,20.11666666666667
28.4,51.1,41.0,19.9,31.7,28.0,1980,May,33.35
78.6,85.1,79.0,74.3,104.3,75.0,1980,Jun,82.71666666666667
103.4,160.8,39.4,110.2,56.9,100.4,1980,July,95.18333333333334
39.3,146.2,97.8,97.9,99.1,114.1,1980,Aug,99.06666666666668
160.1,223.0,97.5,154.4,119.7,122.5,1980,Sep,146.20000000000002
139.5,181.8,113.7,151.9,124.9,127.8,1980,Oct,139.9333333333333
161.1,272.4,41.4,95.1,84.5,103.5,1980,Nov,126.33333333333333
165.5,147.1,49.7,113.5,107.1,116.5,1980,Dec,116.56666666666666
79.6,59.2,32.8,150.5,65.8,67.2,1981,Jan,75.85000000000001
69.6,158.0,48.4,73.5,61.8,77.3,1981,Feb,81.43333333333334
163.5,215.2,101.6,102.0,105.5,106.7,1981,Mar,132.41666666666666
